Name,f,m,Keine Person,Unbekannt,Zuordnung,Bemerkungen
Abendstraße,,,x,,n,
Ackendorfer Straße,,,x,,n,
Ackerstraße,,,x,,n,
Adele-Elkan-Straße,x,,,,f,
Adelheidring,x,,,,f,
Adolf-Jentzen-Straße,,x,,,m,
Adolfstraße,,x,,,m,
Adolph-Kolping-Platz,,x,,,m,
Agneswerder,x,,,,f,
Agnetenplatz,x,,,,f,
Agnetenstraße,x,,,,f,
Agrarstraße,,,x,,n,
Ahornweg,,,x,,n,
Akazienstraße,,,x,,n,
Akazienweg,,,x,,n,
Akener Weg,,,x,,n,
Albert-Dankert-Straße,,x,,,m,
Albert-Fischer-Straße,,x,,,m,
Albert-Schweitzer-Straße,,x,,,m,
Albert-Uffenheimer-Platz,,x,,,m,
Albert-Vater-Straße,,x,,,m,
Albinmüllerweg,,x,,,m,
Albrecht-Thaer-Straße,,x,,,m,
Albrechtstraße,,x,,,m,
Alemannstraße,,,x,,n,
Alexander-Puschkin-Straße,,x,,,m,
Alexanderstraße,,x,,,m,
Allerstraße,,,x,,n,
Alt Benneckenbeck,,,x,,n,
Alt Diesdorf,,,x,,n,
Alt Fermersleben,,,x,,n,
Alt Ottersleben,,,x,,n,
Alt Prester,,,x,,n,
Alt Salbke,,,x,,n,
Alt Westerhüsen,,,x,,n,
Alte Diamant Brauerei,,,x,,n,
Alte Zuckerfabrik,,,x,,n,
Altenhäuser Straße,,,x,,n,
Alter Markt,,,x,,n,
Altes Fischerufer,,,x,,n,
Altmärker Privatstraße,,,x,,n,
Alwin-Brandes-Straße,,x,,,m,
Am Akazienbusch,,,x,,n,
Am Alten Gasometer,,,x,,n,
Am Alten Theater,,,x,,n,
Am Alten Turm,,,x,,n,
Am Bäckerstieg,,,x,,n,
Am Biederitzer Busch,,,x,,n,
Am Birnengarten,,,x,,n,
Am Blauen Bock,,,x,,n,
Am Bördegarten,,,x,,n,
Am Brellin,,,x,,n,
Am Brückbusch,,,,x,?,
Am Brunnen,,,x,,n,
Am Buckauer Tor,,,x,,n,
Am Buckauer Wasserwerk,,,x,,n,
Am Busch,,,x,,n,
Am Buttersteig,,,x,,n,
Am Charlottentor,x,,,,f,
Am Costerberg,,,x,,n,
Am Cracauer Tor,,,x,,n,
Am Deichfeld,,,x,,n,
Am Deichwall,,,x,,n,
Am Denkmal,,,x,,n,
Am Dom,,,x,,n,
Am Dorfteich,,,x,,n,
Am Eckardtshof,,,,x,?,
Am Eulegraben,,,x,,n,
Am Fischertor,,,x,,n,
Am Florapark,,,x,,n,
Am Fort,,,x,,n,
Am Freiheitsplatz,,,x,,n,
Am Freihof,,,x,,n,
Am Fuchsberg,,,x,,n,
Am Großen Silberberg,,,x,,n,
Am Hammelberg,,,x,,n,
Am Hammelberg Weg 1,,,x,,n,
Am Hammelberg Weg 2,,,x,,n,
Am Hansehafen,,,x,,n,
Am Holländer,,,x,,n,
Am Hopfengarten,,,x,,n,
Am Hügel,,,x,,n,
Am Hünenkeller,,,x,,n,
Am Kanal,,,x,,n,
Am Kiebitzpfuhl,,,x,,n,
Am Kirschberg,,,x,,n,
Am Kleinen Silberberg,,,x,,n,
Am Klosterfeld,,,x,,n,
Am Krähenberg,,,x,,n,
Am Krökentor,,,x,,n,
Am Krug,,,x,,n,
Am Kuhanger,,,x,,n,
Am Mittellandkanal,,,x,,n,
Am Mittelteich,,,x,,n,
Am Mühlberg,,,x,,n,
Am Mühlenfeld,,,x,,n,
Am Neuber,,,x,,n,
Am Neustädter Feld,,,x,,n,
Am Nordenfeld,,,x,,n,
Am Pfahlberg,,,x,,n,
Am Pfändetor,,,x,,n,
Am Polderdeich,,,x,,n,
Am Polderdeich Seitenweg,,,x,,n,
Am Pumpenhaus,,,x,,n,
Am Rosenbusch,,,x,,n,
Am Schäferbrunnen,,,x,,n,
Am Schöppensteg,,,x,,n,
Am Schraderhof,,x,,,m,
Am Schroteanger,,,x,,n,
Am Schrotepark,,,x,,n,
Am Schweineanger,,,x,,n,
Am See,,,x,,n,
Am Seeufer,,,x,,n,
Am Siel,,,x,,n,
Am Sonnenanger,,,x,,n,
Am Spionskopf,,,x,,n,
Am Sportplatz,,,x,,n,
Am Stadion,,,x,,n,
Am Stadtblick,,,x,,n,
Am Sudenburger Bahnhof,,,x,,n,
Am Sudenburger Tor,,,x,,n,
Am Sülzehafen,,,x,,n,
Am Teich,,,x,,n,
Am Thie,,,x,,n,
Am Unterbär,,,x,,n,
Am Unterhorstweg,,,x,,n,
Am Vogelgesang,,,x,,n,
Am Volkspark,,,x,,n,
Am Vorhorn,,,x,,n,
Am Wasserwerksgraben,,,x,,n,
